Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall
,International Direct - Bachelor of Science - Biochemistry,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Biochemistry,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Biochemistry,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Biology,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Biology,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Biology,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Biology,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Biology,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Biology,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Business,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Business,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Business,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Chemistry,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Chemistry,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Chemistry,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Chemistry,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Chemistry,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Chemistry,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Communication Disorders,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Communication Disorders,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Communication Disorders,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Communications - Journalism and Public Relations,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Communications - Journalism and Public Relations,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Communications - Journalism and Public Relations,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Communications - Media Studies,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Communications - Media Studies,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Communications - Media Studies,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Communications - Digital Production and Cinema Studies,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Communications - Digital Production and Cinema Studies,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Communications - Digital Production and Cinema Studies,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Computer and Management Information Systems,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Computer and Management Information Systems,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Computer and Management Information Systems,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Computer Science,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Computer Science,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Computer Science,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Criminal Justice,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Criminal Justice,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Criminal Justice,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Fine Arts - Dance,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Fine Arts - Dance,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Fine Arts - Dance,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Economics,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Economics,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Economics,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - English - Creative Writing,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - English - Creative Writing,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - English - Creative Writing,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - English - Literature,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - English - Literature,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - English - Literature,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Environmental Studies,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Environmental Studies,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Environmental Studies,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Exercise Science,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Exercise Science,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Exercise Science,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Finance,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Finance,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Finance,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - French,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - French,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - French,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Fine Arts - Studio Art - Graphic Design,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Fine Arts - Studio Art - Graphic Design,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Fine Arts - Studio Art - Graphic Design,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - History,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - History,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - History,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Interdisciplinary Studies,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Interdisciplinary Studies,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Interdisciplinary Studies,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Interdisciplinary Studies,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Interdisciplinary Studies,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Interdisciplinary Studies,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - International Studies - Business,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - International Studies - Business,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - International Studies - Business,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - International Studies - Political Science,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - International Studies - Political Science,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - International Studies - Political Science,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Latin American Studies,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Arts - Latin American Studies,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Arts - Latin American Studies,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Business Administration - Management,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Business Administration - Management,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Business Administration - Management,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Marketing,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Marketing,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Marketing,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Science - Mathematics,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
,Academic Accelerator - Bachelor of Science - Mathematics,"39,405.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,14,14,14,14,5,5,5,5,709,,68,5.5
,Extended Accelerator - Bachelor of Science - Mathematics,"44,709.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,70.00%,12,12,12,12,4.5,4.5,4.5,4.5,709,,60,5
,International Direct - Bachelor of Arts - Mathematics,"38,656.00",0,"Start: May 2020, Aug 2020, Jan 2021, May 2021, Aug 2021",4-Year Bachelor's Degree,Grade 12 / High School,80.00%,16,16,16,16,6,6,6,6,709,,80,6.5
