Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,Min PTE (Reading),Min PTE (Writing),Min PTE (Listening),Min PTE (Speaking),Min PTE Overall,Level,Stream,Sub Stream,Duration,City,Language
,Master of Professional Language Studies - Language Teaching,31647,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Education,Studies,per year,Auckland City campus,English
,Diploma in English Language,29216,,"Feb, Jul",1 year,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Diploma,Education,Language,per year,Auckland City campus,English
,Bachelor of Laws,33836,,Feb,4 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Law,Law,per year,Auckland City campus and South campus,English
,Bachelor of Laws (Honours),35360,,Feb,4.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Law,Law,per year,Auckland City campus,English
,Bachelor of Advanced Science (Honours),36895,,Feb,4 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Auckland City campus,English
,Bachelor of Science (Honours),36895,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Auckland City campus,English
,Certificate in Applied Science,33068,,"Feb, Jul",1 year,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Graduate Certificate,Science,Science,per year,Auckland City campus,English
,Diploma in Applied Science,33068,,"Feb, Jul",1 year,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Diploma,Science,Science,per year,Auckland City campus,English
,Postgraduate Diploma in Criminology and Criminal Justice,33084,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Law,Criminology,per year,Auckland City campus,English
,Postgraduate Diploma in Human Rights,33084,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Social Science,Human Rights,per year,Auckland City campus,English
,Master of Arts - Maori Development,9319,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Education,Language,per year,Auckland City campus,English
,Master of Arts - Psychology Specialisation,31160,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Arts,Psychology,per year,Auckland City campus,English
,Master of Human Rights,49626,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Social Science,Human Rights,per year,Auckland City campus,English
,Bachelor of Sport and Recreation (Honours),36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Science,Sports,per year,Auckland City campus,English
,Bachelor of Architecture and Future Environments,37000,,Feb,3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Architecture,Architecture,per year,Auckland City campus,English
,Bachelor of Arts - Children and Learning,29216,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Arts,Learning,per year,Auckland City campus,English
,Bachelor of Arts - Children and Learning,29216,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Arts,Learning,per year,Auckland City campus,English
,Bachelor of Arts - Criminology and Criminal Justice,29216,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Arts,Criminology,per year,Auckland City campus,English
,Bachelor of Arts - Interpreting,29216,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Arts,Interpreting,per year,Auckland City campus,English
,Bachelor of Arts - Maori Development,29216,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Arts,Development,per year,Auckland City campus,English
,Bachelor of Arts (Honours) - Criminology and Criminal Justice,31160,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Arts,Criminology,per year,"Auckland City campus, North Campus and South Campus",English
,Bachelor of Arts (Honours) - Education,31160,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Arts,Education,per year,"Auckland City campus, North Campus and South Campus",English
,Bachelor of Arts (Honours) - Psychology,31160,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Arts,Psychology,per year,"Auckland City campus, North Campus and South Campus",English
,Bachelor of Business - Information Systems,31890,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Information System,per year,Auckland City Campus and South Campus,English
,Bachelor of Business - International Business and Strategy,31890,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,International Business,per year,Auckland City Campus and South Campus,English
,"Bachelor of Business - Marketing, Advertising, Retailing and Sales",31890,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Marketing,per year,Auckland City Campus and South Campus,English
,Bachelor of Business (Honours)- Accounting,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Accounts,per year,Auckland City Campus and South Campus,English
,Bachelor of Business (Honours)- Economics,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Economics,per year,Auckland City campus,English
,Bachelor of Business (Honours)- Finance,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Finance,per year,Auckland City campus,English
,Bachelor of Business (Honours)- Information Systems,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Information System,per year,Auckland City campus,English
,Bachelor of Business (Honours)- International Business,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,International Business,per year,Auckland City campus,English
,Bachelor of Business (Honours)- Management,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Management,per year,Auckland City campus,English
,Bachelor of Business (Honours)- Marketing,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Marketing,per year,Auckland City campus,English
,Bachelor of Business (Honours)- Sport Leadership and Management,33330,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Management,per year,Auckland City campus,English
,Bachelor of Communication Studies - Advertising and Brand Creativity,29670,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Mass & Media,Advertising,per year,Auckland City campus,English
,Bachelor of Communication Studies - Digital Communication,29670,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Mass & Media,Digital Communication,per year,Auckland City campus,English
,Bachelor of Communication Studies - Radio and Audio Media,29670,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Mass & Media,Radio & Audio Media,per year,Auckland City campus,English
,Bachelor of Communication Studies - Screen Production,29670,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Mass & Media,Screen Production,per year,Auckland City campus,English
,Bachelor of Creative Technologies,33836,,Feb,3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Mass & Media,Creative Technologies,per year,Auckland City campus,English
,Bachelor of Design - Interaction Design,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Design,Interaction Desing,per year,Auckland City campus,English
,Bachelor of Education ([Specialty] Teaching) - Mainstream Early Childhood Teaching,29216,,"Feb, Jul",3 years,,,27,27,27,27,7,7,7,7,AUT1001,,100,7,65,65,65,65,65,Bachelor's Degree,Education,Teaching,per year,Auckland North Campus and South Campus,English
,Bachelor of Education ([Specialty] Teaching) - Mainstream Primary Teaching,29216,,"Feb, Jul",3 years,,,27,27,27,27,7,7,7,7,AUT1001,,100,7,65,65,65,65,65,Bachelor's Degree,Education,Teaching,per year,Auckland North Campus and South Campus,English
,Bachelor of Health Science (Honours),36895,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Science,Health Science,per year,Auckland City campus,English
,Bachelor of Health Science (non-cliical) - Case Management,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Health Science,per year,Auckland North Campus and South Campus,English
,Bachelor of Health Science (non-cliical) - Public and Environmental Health,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Health Science,per year,Auckland North Campus and South Campus,English
,Bachelor of International Tourism Management - Sustainable Tourism Management,31477,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Tourism Management,per year,Auckland City campus,English
,Bachelor of Mathematical Sciences - Astronomy and Space Science,31890,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Mathematics,per year,Auckland City campus,English
,Bachelor of Science - Analytics,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Analytics,per year,Auckland City campus,English
,Bachelor of Science - Applied Mathematics,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Mathematics,per year,Auckland City campus,English
,Bachelor of Science - Astronomy and Space Science,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Astonomy & Space Science,per year,Auckland City campus,English
,Bachelor of Science - Computer Science,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Computer Science,per year,Auckland City campus,English
,Bachelor of Science - Geoscience,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Geoscience,per year,Auckland City campus,English
,Bachelor of Science - Molecular Genetics,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Molecular Genetics,per year,Auckland City campus,English
,Bachelor of Science - Psychology,34412,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Science,Psychology,per year,Auckland City campus,English
,Bachelor of Science (Honours),36895,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Bachelor's Degree,Science,Science,per year,Auckland City campus,English
,Certificate in Science and Technology,31168,,"Feb, Jul",1 year,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Graduate Certificate,IT,Science & Technology,per year,Auckland City Campus and South campus,English
,Diploma in Arts,29216,,"Feb, Jul",1 year,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Diploma,Arts,Arts,per year,Auckland City Campus and South campus,English
,Diploma in Culinary Arts,30395,,"Feb, Jul",2 years,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Diploma,Arts,Culinary Arts,per year,Auckland City campus,English
,Diploma in Paramedic Science,37461,,"Feb, Jul",1 year,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Diploma,Medical,Paramedic Science,per year,Auckland City campus,English
,Diploma in Pactisserie,30395,,Feb,2 years,,,18,18,18,18,5,5,5,5,AUT1001,,70,5.5,35,35,35,35,42,Diploma,Arts,Pactisserie,per year,Auckland City campus,English
,Doctor of Education,36950,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Doctorate Degrees,Education,Education,per year,Auckland City campus,English
,Doctor of Health Science,38059,,"Feb, Jul",3.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Doctorate Degrees,Health,Health Science,per year,Auckland North campus,English
,Doctor of Philosophy,38059,,"Feb, Jul",0 Month,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Doctorate Degrees,Science,Philosophy,per year,"Auckland City Campus, North Campus and South Campus",English
,Graduate Diploma in Psychotherapy Studies,33836,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Graduate Diploma,Education ,Studies,per year,Auckland City campus,English
,Master of Architecture (Professional),37000,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Architecture,Architecture,per year,Auckland City campus,English
,Master of Business - Information System,33330,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Business,Information System,per year,Auckland City campus,English
,Master of Business - Sport Leadership and Management,33330,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Business,Sports Management,per year,Auckland City campus,English
,Master of Engineering,39655,,"Feb, Jul",0 Month,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Engineering,Engineering,per year,Auckland City campus,English
,Master of Health Practice - Acupuncture,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Acupuncture,per year,Auckland North campus,English
,Master of Health Practice - Child Health,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Child Health,per year,Auckland North campus and South campus,English
,Master of Health Practice - Māori Health,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Health,per year,Auckland North campus and South campus,English
,Master of Health Practice - Mental Health and Addictions,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Mental Health,per year,Auckland North campus,English
,Master of Health Practice - Midwifery,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Midwifery,per year,Auckland North campus,English
,Master of Health Practice - Musculoskeletal Physiotherapy,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Physiotherapy,per year,Auckland North campus,English
,Master of Health Practice - Nursing,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Nursing,per year,Auckland North campus,English
,Master of Health Practice - Paramedicine,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Paramedicine,per year,Auckland North campus,English
,Master of Health Practice - Podiatry,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Podiatry,per year,Auckland North campus,English
,Master of Health Practice - Rehabilitation,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Rehabilitation,per year,Auckland North campus,English
,Master of Health Practice - Violence and Trauma Studies,36895,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Studies,per year,Auckland North campus,English
,Master of Health Science - Advanced Nursing Practice,36895,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Nursing,per year,Auckland North campus,English
,Master of Health Science - MindBody Healthcare,36895,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Healthcare,per year,Auckland North campus,English
,Master of Health Science - Podiatry,36895,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Healthcare,per year,Auckland North campus,English
,Master of Health Science - Psychology,36895,,"Feb, Jul",2 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Health Science,Psychology,per year,Auckland North campus,English
,Postgraduate Diploma in Communication Studies - Public Relations,33063,,"Feb, Jul",1 year,,,27,27,27,27,7,7,7,7,AUT1001,,100,7,65,65,65,65,65,Higher Education Diploma,Social Science,Public Relations,per year,Auckland North campus,English
,Postgraduate Diploma in Communication Studies - Screen production,33063,,"Feb, Jul",1 year,,,27,27,27,27,7,7,7,7,AUT1001,,100,7,65,65,65,65,65,Higher Education Diploma,Mass & Media,Screen Production,per year,Auckland North campus,English
,Postgraduate Diploma in Health Science - Advanced Nursing Practice,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Health Science,Nursing Pracitise,per year,Auckland North campus,English
,Postgraduate Diploma in Health Science - Maori Health,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Health Science,Maori Health,per year,Auckland City campus and South campus,English
,Postgraduate Diploma in Health Science - Midwifery,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Health Science,Midwifery,per year,Auckland South campus,English
,Postgraduate Diploma in Health Science - Musculoskeletal Physiotherapy,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Health Science,Physiotherapy,per year,Auckland North campus,English
,Postgraduate Diploma in Health Science - Paramedicine,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Health Science,Paramedicine,per year,Auckland South campus,English
,Postgraduate Diploma in Health Science - Podiatry,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Health Science,Podiatry,per year,Auckland North campus,English
,Postgraduate Diploma in Higher Education,31642,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Education,Education,per year,Auckland North campus,English
,Postgraduate Diploma in Registered Nurse Prescribing,36895,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Medical,Nursing,per year,Auckland North campus,English
,Postgraduate Diploma in Rehabilitation Psychology,36895,,Feb,1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Higher Education Diploma,Medical,Psychology,per year,Auckland North campus,English
,Master of Criminology and Criminal Justice,33084,,Feb,1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Law,Criminology,per year,Auckland City campus,English
,Master of Nursing Science,37461,,Feb,2 years,,,27,27,27,27,7,7,7,7,AUT1001,,100,7,65,65,65,65,65,Master's Degree,Medical,Nursing,per year,Auckland South campus,English
,Master of Business Management,49995,,"Oct, Feb",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Business,Management,per year,Auckland City campus,English
,Master of Creative Technologies,34871,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,IT ,Creative Technologies,per year,Auckland City campus,English
,Master of IT Project Management,36962,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Business,Project Management,per year,Auckland City campus,English
,Master of Philosophy,37461,,"Feb, Jul",1 year,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Science,Philosophy,per year,"Auckland City Campus, North Campus and South Campus",English
,Master of Language and Culture,33063,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Education,Language,per year,Auckland City campus,English
,Master of English and New Media Studies,33058,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Education,Studies,per year,Auckland City campus,English
,Master of Laws,35360,,"Feb, Jul",1 year,,,27,27,27,27,7,7,7,7,AUT1001,,100,7,65,65,65,65,65,Master's Degree,Law,Law,per year,Auckland City campus,English
,Bachelor of Design - Communication Design,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Design,Communication Design,per year,Auckland City Campus and South Campus,English
,Bachelor of Design - Digital Design,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Design,Digital Design,per year,Auckland City Campus,English
,Bachelor of Design - Fashion Design,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Design,Fashion Design,per year,Auckland City Campus,English
,Bachelor of Design - Industrial Design,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Design,Industrial Design,per year,Auckland City Campus,English
,Bachelor of Design - Spatial Design,33836,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Design,Spatial Design,per year,Auckland City Campus,English
,Bachelor of Visual Arts,33836,,Feb,3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Arts,Visual Arts,per year,Auckland City Campus,English
,Master of Design,36962,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Design,Design,per year,Auckland City campus,English
,Master of Visual Arts,36962,,"Feb, Jul",1.5 years,,,22,22,22,22,6,6,6,6,AUT1001,,90,6.5,50,50,50,50,58,Master's Degree,Arts,Visual Arts,per year,Auckland City campus,English
,Bachelor of Business - Accounting,31890,,"Feb, Jul",3 years,,,20,20,20,20,5.5,5.5,5.5,5.5,AUT1001,,80,6,42,42,42,42,50,Bachelor's Degree,Business,Accounts,per year,Auckland City Campus and South Campus,English
