Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,DLI#,Min TOEFL iBT,Min IELTS Overall,
,College Diploma - Computerized Accounting and Office,"12,090.00",250,"Start: Jan 2020, Mar 2020, May 2020, Deadline: Mar 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Hospitality Management (Co-op),"12,282.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,College Diploma - Hospitality Management - Fast track (Co-op),"12,900.00",250,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,,,,,,,,,20,DLI#:O19257044542,78,6,
,Bachelor of Arts - English Language and Literature (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Human Ecology - Family Studies (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Science - Human Ecology - Nutrition and Families (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Management and Organizational Studies - Food Management (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Community Development (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - French Studies (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Health Sciences (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,85.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - History (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Kinesiology (Women Only),"28,743.00",0,Start: Sep 2020,4-Year Bachelor's Degree,Grade 12 / High School,85.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Dimensions of Leadership (Women Only),"28,743.00",0,"Start: Sep 2020, Deadline: Aug 2021, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Management and Organizational Studies - Accounting (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Management and Organizational Studies - Consumer Behaviour (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Management and Organizational Studies - Nonprofit Management (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Philosophy (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Political Science (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Psychology (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Religious Studies (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Sociology (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,English for Academic Purposes through Fanshawe College,"11,360.00",100,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Oct 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Sep 2021, Oct 2021",English as Second Language (ESL),Grade 12 / High School,,,,,,,,,,134,DLI#:O19331472822, ,,
,Bachelor of Science - Foods and Nutrition (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Arts - Criminal Justice (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Bachelor of Science - Human Ecology - Family Studies (Women Only),"28,743.00",0,"Start: Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,79.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Post-Grad Diploma in Management and Organizational Studies - ApplyBoard Exclusive (Women Only),"19,900.00",0,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Bachelor's Degree,60.00%,20,20,20,20,6,6,6,6,134,DLI#:O19331472822,83,6.5,
,Academic English Program through Western English Language Centre (WELC),"13,024.00",200,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,134,DLI#:O19331472822,,1,
,Be Ready Program,"6,500.00",200,"Start: Jul 2020, Jul 2021",English as Second Language (ESL),Grade 12 / High School,60.00%,12,16,12,16,5.5,5.5,5.5,5.5,134,DLI#:O19331472822,65,6,
,Private Pilot License - Aeroplane,"12,675.00",0,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Sep 2021, Nov 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,21,21,21,21,,,,,380,DLI#:O19394940288,84,6.5,
,Commercial Pilot License - Aeroplane,"21,000.00",0,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Sep 2021, Nov 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,21,21,21,21,,,,,380,DLI#:O19394940288,84,6.5,
,General English - Full-time (24 lessons/week),"8,160.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,General English - Intensive (30 lessons/week),"9,920.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,General English - Super Intensive (35 lessons/week),"11,360.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,General French - Full-time (24 lessons/week),"8,160.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,General French - Intensive (30 lessons/week),"9,920.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,General French - Super Intensive (35 lessons/week),"11,360.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,High School Academic Year - Grade 9,"16,350.00",250,Start: Aug 2020,Grade 9,Grade 8,50.00%,,,,,,,,,746,,31,3,
,Full Day Bilingual (42 lessons/week),"14,080.00",150,"Start: Sep 2019, Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,746,,,,
,High School Academic Year - Grade 10,"16,350.00",250,Start: Aug 2020,Grade 10,Grade 8,50.00%,,,,,,,,,746,,31,3,
,High School Academic Year - Grade 11,"16,350.00",250,Start: Aug 2020,Grade 11,Grade 8,50.00%,,,,,,,,,746,,31,3,
,General French - Full-time (24 lessons/week),"8,160.00",150,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,766,,,,
,General French - Intensive (30 lessons/week),"9,920.00",150,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,766,,,,
,General French - Super Intensive (35 lessons/week),"11,360.00",150,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,766,,,,
,College Diploma - Agribusiness (Co-op) - Victoria Avenue East Campus (Brandon),"18,100.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Culinary Arts - North Hill Campus (Brandon),"17,240.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Communications Engineering Technology - Victoria Avenue East Campus (Brandon),"17,910.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Land and Water Management (Co-op) - Victoria Avenue East Campus (Brandon),"18,380.00",200,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Hotel and Restaurant Management (Co-op) - North Hill Campus (Brandon),"20,250.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Interactive Media Arts - Interactive - Victoria Avenue East Campus (Brandon),"19,040.00",200,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Interactive Media Arts - Media - Victoria Avenue East Campus (Brandon),"19,140.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Network Administration Technology - Victoria Avenue East Campus (Brandon),"17,470.00",200,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Office Management - Victoria Avenue East Campus (Brandon),"14,370.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,English for Academic Purposes,"9,390.00",200,"Start: Sep 2019, Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,40,DLI#:O19201282282, ,,
,College Certificate - Civil Technician (Co-op) - Victoria Avenue East Campus (Brandon),"21,430.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Certificate - Horticultural Production - North Hill Campus (Brandon),"15,520.00",200,"Start: Sep 2019, Sep 2020, Jan 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Certificate - Office Skills - Victoria Avenue East Campus (Brandon),"14,370.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Certificate - Carpentry and Woodworking - Parkland Campus (Dauphin),"19,280.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,Post-Graduate Advanced College Diploma - Accounting - Victoria Avenue East Campus (Brandon),"14,310.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6,
,Post-Graduate Advanced College Diploma - Geographic Information Systems - Victoria Avenue East Campus (Brandon),"15,160.00",200,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Legal Administration - Victoria Avenue East Campus (Brandon),"14,370.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Medical Administration - Victoria Avenue East Campus (Brandon),"14,370.00",200,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,Post-Graduate Advanced College Diploma - Sustainable Food Systems - North Hill Campus (Brandon),"15,460.00",200,"Start: Sep 2019, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,Post-Graduate Advanced College Diploma - Accounting and Finance (Cohort Program) - Winnipeg,"16,400.00",200,"Start: Apr 2020, Apr 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,14,14,14,14,5.5,5.5,5.5,5.5,40,DLI#:O19201282282,60,6,
,College Certificate - Comprehensive Health Care Aide - International (Cohort Program) - Brandon,"16,995.00",200,"Start: Nov 2020, Nov 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,5.5,5.5,5.5,5.5,40,DLI#:O19201282282,60,6,
,College Certificate - Comprehensive Health Care Aide - International (Cohort Program) - Winnipeg,"16,895.00",200,"Start: May 2020, May 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,14,14,14,14,5.5,5.5,5.5,5.5,40,DLI#:O19201282282,60,6,
,College Certificate - Network Administration Technician (Cohort Program) - Brandon,"16,990.00",200,Start: Jan 2021,1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,Post-Graduate Advanced College Diploma - Agribusiness - Victoria Avenue East Campus (Brandon),"17,762.00",200,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,Post-Graduate Advanced College Diploma - Finance - Victoria Avenue East Campus (Brandon),"14,030.00",200,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6,
,Post-Graduate Advanced College Diploma - Human Resource Management - Victoria Avenue East Campus (Brandon),"14,090.00",200,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6,
,Post-Graduate Advanced College Diploma - Indigenous Financial Management - Victoria Avenue East Campus (Brandon),"14,310.00",200,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6,
,Post-Graduate Advanced College Diploma - Marketing - Victoria Avenue East Campus (Brandon),"14,060.00",200,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6,
,College Certificate - Baking foundations (Cohort Program) - Winnipeg,"16,995.00",200,"Start: Nov 2020, Nov 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,5.5,5.5,5,5.5,40,DLI#:O19201282282,60,6,
,College Certificate - Food Processing (Animal Proteins) (Cohort Program) - Brandon,"16,770.00",200,"Start: May 2020, May 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,50.00%,,,,,5,5,5,5,40,DLI#:O19201282282,60,5.5,
,College Diploma - Business Administration - Accounting - Victoria Avenue East Campus (Brandon),"14,250.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Business Administration - Financial Services - Victoria Avenue East Campus (Brandon),"14,250.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Business Administration - Human Resource Management - Victoria Avenue East Campus (Brandon),"14,250.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Business Administration - Marketing - Victoria Avenue East Campus (Brandon),"14,250.00",200,"Start: Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Business Administration - Accounting - Parkland Campus (Dauphin),"14,250.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Business Administration - Human Resource Management - Parkland Campus (Dauphin),"14,250.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,50.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,College Diploma - Social Service Worker - Victoria Avenue East Campus (Brandon),"15,630.00",200,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,18,18,18,18,6,6,6,6,40,DLI#:O19201282282,79,6.5,
,English for Academic Purposes,"19,920.00",200,"Start: Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,237,DLI#:O19347185182, ,,
,Associate of Arts,"16,500.00",200,"Start: Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,70.00%,,,,,,,,,237,DLI#:O19347185182,80,6,
,Associate of Science,"16,500.00",200,"Start: Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,70.00%,19,19,19,19,6,6,6,6,237,DLI#:O19347185182, ,,
,Associate of Arts - Business,"16,500.00",200,"Start: Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,70.00%,,,,,,,,,237,DLI#:O19347185182, ,,
,Associate of Arts - Economics,"16,500.00",200,"Start: Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,70.00%,,,,,,,,,237,DLI#:O19347185182, ,,
,Associate of Arts - Psychology,"16,500.00",200,"Start: Deadline: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,70.00%,,,,,,,,,237,DLI#:O19347185182, ,,
,University Pathway Program - ILSC,"9,750.00",150,"Start: Jan 2020, Mar 2020, May 2020,Jul 2020, Aug 2020, Sep 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Aug 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,237,DLI#:O19347185182, ,,
,English for Academic Purposes,"19,920.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,30,DLI#:O19347185182,,,
,Associate of Arts,"16,500.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),,70.00%,19,19,19,19,6,6,6,6,30,DLI#:O19347185182,80,6,
,Associate of Arts - Business,"16,500.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),,70.00%,19,19,19,19,6,6,6,6,30,DLI#:O19347185182,80,6,
,Associate of Science,"16,500.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),,70.00%,19,19,19,19,6,6,6,6,30,DLI#:O19347185182,80,6,
,Associate of Arts - Economics,"16,500.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),,70.00%,19,19,19,19,6,6,6,6,30,DLI#:O19347185182,80,6,
,Associate of Arts - Psychology,"16,500.00",200,"Start: Sep 2019, Jan 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),,70.00%,19,19,19,19,6,6,6,6,30,DLI#:O19347185182,80,6,
,University Pathway Program - ILSC,"9,750.00",150,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Aug 2020, Sep 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Aug 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,30,DLI#:O19347185182,,,
,"Diploma of Vocational Studies (DVS) - Health, Assistance, and Nursing","39,667.00",200,"Start: Apr 2020, Sep 2020, Nov 2020, Apr 2021, Sep 2021, Nov 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60,,,,,,,,,1044,DLI#:O246877185939,60,5.5,
,Diploma of Vocational Studies (DVS) - Automobile Mechanics,"21,037.00",200,Start: Jun 2020Aug 2020Nov 2020Jun 2021Aug 2021Nov 2021,2-Year Undergraduate Diploma,Grade 12 / High School,60,,,,,,,,,1044,DLI#:O246877185939,60,5.5,
,Diploma of Vocational Studies (DVS) - Stationary Engine Mechanics,"28,010.00",200,"Start: Feb 2020, Feb 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60,,,,,,,,,1044,DLI#:O246877185939,60,5.5,
