Course Code,Course Name,Tuition Fee,Application Fee,Intake,Degree,Minimum Level of Education Required,Min GPA,Min TOEFL (Reading),Min TOEFL (Writing),Min TOEFL (Listening),Min TOEFL (Speaking),Min IELTS (Reading),Min IELTS (Writing),Min IELTS (Listening),Min IELTS (Speaking),School ID,hase,Min TOEFL iBT,Min IELTS Overall
,Advanced College Diploma - Music Industry Arts and Performance (6450),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,College Certificate - Performing Arts Fundamentals (6400),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1018,DLI#: O19394700003,80,6
,Advanced College Diploma - Product Design and Development (3517),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,Advanced College Diploma - Theatre Arts and Performance (6470),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6
,Bachelor of Public Relations Management (0617),"CA$ 17,458.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",4-Year Bachelor's Degree,Grade 12 / High School,65.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Advanced Television and Film - Script to Screen (6429),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Advertising - Account Management (6419),"CA$ 21,120.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Advertising - Creative & Digital Strategy (6425),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Undergraduate Advanced Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Advertising - Media Management (6403),"CA$ 21,120.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Arts Management (6431),"CA$ 14,080.00",CA$ 0.00,"Start: Sep 2019, Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Children's Media (6424),"Tuition: CA$ 21,120.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Interactive Media Management (6410),"Tuition: CA$ 21,120.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Interactive Media Management (6410),"Tuition: CA$ 21,120.00",CA$ 49.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",Application Fee: CA$ 49.00 Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Lifestyle Media (6436),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Public Relations - Corporate Communications (6417),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,"Graduate Certificate - Publishing - Book, Magazine and Electronic (6438)","Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Sports Journalism (6415),"Tuition: CA$ 21,120.00",CA$ 0.00,"Start: Jan 2020, Jan 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Television and Film - Business (6430),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,3-Year Undergraduate Advanced Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,English Language Learning (6519) (Main Campus Only),"Tuition: CA$ 8,827.00",CA$ 0.00,"Start: Jan 2020, May 2020, Sep 2020, Jan 2021, May 2021, Sep 2021",English as Second Language (ESL),Grade 12 / High School,,,,,,,,,,1018,DLI#: O19394700003,,
,Advanced College Diploma - Journalism (6402),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",3-Year Undergraduate Advanced Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6.5
,College Diploma - Photography (6406),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",2-Year Undergraduate Diploma,Grade 12 / High School,60.00%,21,21,21,21,6,6,6,6,1018,DLI#: O19394700003,84,6.5
,Graduate Certificate - Arts Education and Community Engagement (6426),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Communications – Professional Writing (6440),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Museum and Cultural Management (1832),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Graduate Certificate - Contemporary Journalism (6443),"Tuition: CA$ 21,120.00",CA$ 0.00,"Start: Sep 2020, Sep 2021",Postgraduate Certificate / Master's Degree,2-Year Undergraduate Diploma,60.00%,22,22,22,22,6,6,6,6,1018,DLI#: O19394700003,88,6.5
,Royal Canadian Institute of International Studies (RCIIS) - Canadian College Academic Pathway - Intensive (30 hours/week),"Tuition: CA$ 14,700.00",CA$ 0.00,"Start: Jan 2020, Mar 2020, May 2020, Jul 2020, Sep 2020, Nov 2020, Jan 2021, Mar 2021, May 2021, Jul 2021, Sep 2021, Nov 2021",English as Second Language (ESL),Grade 12 / High School,50.00%,,,,,,,,,1018,DLI#: O19394700003,,
,College Certificate - Communications and Media Fundamentals (6416),"Tuition: CA$ 14,080.00",CA$ 0.00,"Start: Jan 2020, Sep 2020, Jan 2021, Sep 2021",1-Year Post-Secondary Certificate,Grade 12 / High School,60.00%,20,20,20,20,5.5,5.5,5.5,5.5,1018,DLI#: O19394700003,80,6
